"資料類型","樓層","帳單日期","租金","電費","用電度數","水費","瓦斯費","管理費","其他費用","總金額","帳單編號","上期電表讀數","本期電表讀數","季節","台電帳單金額","台電總度數","5F用電度數","6F用電度數","5F理論電費","6F理論電費","電費差額","5F分攤比例","6F分攤比例","樓層名稱","居住人數","銀行代碼","戶名","銀行帳號","租客備註","房東備註","起始抄表日期","結束抄表日期"
"抄表清單","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"房客設定","5F","","18000","","","","","","","","","","","","","","","","","","","","","5 樓","2","'","測試房東","'","這是模擬資料，請勿實際付款。","僅供匯入與介面測試。","",""
"房客設定","6F","","12000","","","","","","","","","","","","","","","","","","","","","6 樓","1","'","測試房東","'","這是模擬資料，請勿實際付款。","僅供匯入與介面測試。","",""
"帳單","5F","2026-01-28","18000","0","0","230","290","500","0","19020","'10010","","","","","","","","","","","","","","","","","","","","",""
"帳單","6F","2026-01-28","12000","0","0","115","170","300","0","12585","'10011","","","","","","","","","","","","","","","","","","","","",""
"帳單","5F","2026-02-28","18000","1144","465","240","300","500","0","20184","'10020","","","非夏月","1720","720","465","255","935.6999999999999","461.09999999999997","323.20000000000005","0.6458333333333334","0.3541666666666667","","","","","","","","2025-12-28","2026-02-28"
"帳單","6F","2026-02-28","12000","576","255","120","180","300","0","13176","'10021","10000","10255","非夏月","1720","720","465","255","935.6999999999999","461.09999999999997","323.20000000000005","0.6458333333333334","0.3541666666666667","","","","","","","","2025-12-28","2026-02-28"
"帳單","5F","2026-03-28","18000","0","0","250","310","500","350","19410","'10030","","","","","","","","","","","","","","","","","","","","",""
"帳單","6F","2026-03-28","12000","0","0","125","190","300","150","12765","'10031","","","","","","","","","","","","","","","","","","","","",""
"帳單","5F","2026-04-28","18000","1515","585","260","320","500","0","20595","'10040","","","非夏月","2110","840","585","255","1206.8999999999999","461.09999999999997","442.0000000000002","0.6964285714285714","0.30357142857142855","","","","","","","","2026-02-28","2026-04-28"
"帳單","6F","2026-04-28","12000","595","255","130","200","300","0","13225","'10041","10255","10510","非夏月","2110","840","585","255","1206.8999999999999","461.09999999999997","442.0000000000002","0.6964285714285714","0.30357142857142855","","","","","","","","2026-02-28","2026-04-28"
"帳單","5F","2026-05-28","18000","0","0","270","330","500","0","19100","'10050","","","","","","","","","","","","","","","","","","","","",""
"帳單","6F","2026-05-28","12000","0","0","135","210","300","0","12645","'10051","","","","","","","","","","","","","","","","","","","","",""
"帳單","5F","2026-06-28","18000","2420","760","280","340","500","0","21540","'10060","","","夏月","3540","1160","760","400","1878.2","835.2","826.5999999999999","0.6551724137931034","0.3448275862068966","","","","","","","","2026-04-28","2026-06-28"
"帳單","6F","2026-06-28","12000","1120","400","140","220","300","0","13780","'10061","10510","10910","夏月","3540","1160","760","400","1878.2","835.2","826.5999999999999","0.6551724137931034","0.3448275862068966","","","","","","","","2026-04-28","2026-06-28"
"帳單","5F","2026-07-28","18000","0","0","290","350","500","0","19140","'10070","","","","","","","","","","","","","","","","","","","","",""
"帳單","6F","2026-07-28","12000","0","0","145","230","300","0","12675","'10071","","","","","","","","","","","","","","","","","","","","",""
"帳單","5F","2026-08-28","18000","3097","880","300","360","500","0","22257","'10080","","","夏月","4620","1380","880","500","2334.2","1090.2","1195.6000000000004","0.6376811594202898","0.36231884057971014","","","","","","","","2026-06-28","2026-08-28"
"帳單","6F","2026-08-28","12000","1523","500","150","240","300","0","14213","'10081","10910","11410","夏月","4620","1380","880","500","2334.2","1090.2","1195.6000000000004","0.6376811594202898","0.36231884057971014","","","","","","","","2026-06-28","2026-08-28"
"抄表","6F","2025-12-28","","","","","","","","","'2000","","10000","","","","","","","","","","","","","","","","","","",""
"抄表","6F","2026-01-28","","","","","","","","","'2001","","10120","","","","","","","","","","","","","","","","","","",""
"抄表","6F","2026-02-28","","","","","","","","","'2002","","10255","","","","","","","","","","","","","","","","","","",""
"抄表","6F","2026-03-28","","","","","","","","","'2003","","10365","","","","","","","","","","","","","","","","","","",""
"抄表","6F","2026-04-28","","","","","","","","","'2004","","10510","","","","","","","","","","","","","","","","","","",""
"抄表","6F","2026-05-28","","","","","","","","","'2005","","10690","","","","","","","","","","","","","","","","","","",""
"抄表","6F","2026-06-28","","","","","","","","","'2006","","10910","","","","","","","","","","","","","","","","","","",""
"抄表","6F","2026-07-28","","","","","","","","","'2007","","11170","","","","","","","","","","","","","","","","","","",""
"抄表","6F","2026-08-28","","","","","","","","","'2008","","11410","","","","","","","","","","","","","","","","","","",""
